epoch,lr,c4_train_iou,c4_val_iou,c4_train_loss,c4_val_loss,c4_train_main_loss,c4_val_main_loss,c8_train_iou,c8_val_iou,c8_train_loss,c8_val_loss,c8_train_main_loss,c8_val_main_loss,p10_train_iou,p10_val_iou,p10_train_loss,p10_val_loss,p10_train_main_loss,p10_val_main_loss,c8_minus_c4_val_iou
1,0.0003,0.4778449542048265,0.511221776941258,0.2377339677274728,0.20731726071899634,0.2377339677274728,0.20731726071899634,0.4758571962765953,0.534249430064808,0.2530169547939835,0.21097531451721804,0.23781641712542675,0.19783158916289195,0.4776119946264753,0.5094828299703591,0.252630261041704,0.2249405408255949,0.23738999111729175,0.2113933792850035,0.02302765312354993
2,0.00029510565162951536,0.5690252979596456,0.6131776435088244,0.17764172688418745,0.1547630468580254,0.17764172688418745,0.1547630468580254,0.5686940459811053,0.6139999875828801,0.19045197905278674,0.16864729559529987,0.17791940831169695,0.15671083929657184,0.5816022537502588,0.589750179487813,0.18586842498692477,0.18090148020908497,0.17177222944608256,0.16596229833226842,0.0008223440740556809
3,0.00028090169943749475,0.6043857447072571,0.6448972647301878,0.15691887810617602,0.14149199497082418,0.15691887810617602,0.14149199497082418,0.6047527454480404,0.6486481930343649,0.16850698841553108,0.15095118473383662,0.15664225309586324,0.13938399602934728,0.6223002532784011,0.6491056492563892,0.16188665832124172,0.1498372493985652,0.14812399793405825,0.13641598236736008,0.0037509283041771146
4,0.0002587785252292473,0.620321310200945,0.6483386459677598,0.1485417414487911,0.13379126872692682,0.1485417414487911,0.13379126872692682,0.6228901803994379,0.6367043531633407,0.1583635897613039,0.15439249001615443,0.14687367094581535,0.14286185327612327,0.6390457300244927,0.6462965191787068,0.15277059319890848,0.1458665757975101,0.13944033704468517,0.132095835722352,-0.011634292804419077
5,0.00023090169943749473,0.6392097265279594,0.6166493585261538,0.1380297875329226,0.1414011810170428,0.1380297875329226,0.1414011810170428,0.640211679521395,0.6259546336216723,0.14900266425031908,0.14901534399634228,0.13777814680287817,0.13798254119340483,0.6511183698304227,0.6463438815132899,0.14641486911797055,0.14205501468929066,0.13334460500158182,0.1293164648902925,0.009305275095518484
6,0.00019999999999999998,0.6492786723024705,0.6414339811840284,0.13290324915690915,0.1321467667234119,0.13290324915690915,0.1321467667234119,0.6507306760098753,0.6594526461573895,0.1436032597758189,0.13928665655571904,0.13256604606363953,0.12841197568858062,0.6610864431751209,0.6734749339442724,0.14035502443460524,0.13450418836049385,0.12755818610765687,0.12183435688784608,0.01801866497336113
7,0.00016909830056250526,0.6576451676733354,0.6703062267300129,0.12853452456848963,0.1203186030130106,0.12853452456848963,0.1203186030130106,0.6598242130600104,0.6787719970153211,0.13837529186691558,0.12917306392529862,0.12744213461208076,0.11839894183955049,0.6660541530583753,0.6773479734791835,0.13756673503406242,0.13212802614091243,0.12490712579976276,0.11943083816971121,0.00846577028530815
8,0.00014122147477075268,0.6670615627986043,0.6821940700185307,0.1232083667518378,0.11414022517421181,0.1232083667518378,0.11414022517421181,0.6680043532567865,0.6766102015346477,0.1337958032301828,0.12791437502921754,0.12304217650108978,0.11715866500176776,0.6756326858402968,0.6709059086439908,0.13201002090000638,0.1323415638580449,0.11954007078619565,0.11989874595566344,-0.005583868483883037
9,0.00011909830056250527,0.6744559805433289,0.6893167066106937,0.11934104613980659,0.11318535753444327,0.11934104613980659,0.11318535753444327,0.6760238206186214,0.6897611171319987,0.1297529725884857,0.12399091234233849,0.1191044128408619,0.11333333248855185,0.6832949857250983,0.6929550183828767,0.1284896458606092,0.12491891735954833,0.11613814032920937,0.11279869468542476,0.00044441052130506087
10,0.00010489434837048466,0.678549506918055,0.7050242366033305,0.11748680330458142,0.10917060550607277,0.11748680330458142,0.10917060550607277,0.6810663365850261,0.7053317479356508,0.12675162267033793,0.12091794709086502,0.11615980020006832,0.11048948475954164,0.6855849285586542,0.703609060790674,0.12674154376699812,0.12052083083221844,0.1144686272832192,0.10824877826628608,0.00030751133232032046
